T2_id,study_accession,run_accession,file_name,sub_file_name,file_path,format,semantic_format,size,strategy,strategy_original,data_level
HRR234070.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234070.indel.vcf.gz.tbi,HRA000873,HRR234070,HRR234070.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234070.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,143727,WXS,WES,2
HRR234073.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234073.indel.vcf.gz,HRA000873,HRR234073,HRR234073.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234073.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,1145954,WXS,WES,2
HRR234073.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234073.indel.vcf.gz.tbi,HRA000873,HRR234073,HRR234073.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234073.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,90850,WXS,WES,2
HRR234075.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234075.indel.vcf.gz,HRA000873,HRR234075,HRR234075.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234075.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,1264914,WXS,WES,2
HRR234075.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234075.indel.vcf.gz.tbi,HRA000873,HRR234075,HRR234075.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234075.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,97244,WXS,WES,2
HRR234077.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234077.indel.vcf.gz,HRA000873,HRR234077,HRR234077.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234077.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,1789835,WXS,WES,2
HRR234077.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234077.indel.vcf.gz.tbi,HRA000873,HRR234077,HRR234077.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234077.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,117929,WXS,WES,2
HRR234079.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234079.indel.vcf.gz,HRA000873,HRR234079,HRR234079.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234079.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,1063785,WXS,WES,2
HRR234079.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234079.indel.vcf.gz.tbi,HRA000873,HRR234079,HRR234079.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234079.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,85838,WXS,WES,2
HRR234080.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234080.indel.vcf.gz,HRA000873,HRR234080,HRR234080.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234080.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,2716071,WXS,WES,2
HRR234080.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234080.indel.vcf.gz.tbi,HRA000873,HRR234080,HRR234080.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234080.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,154035,WXS,WES,2
HRR234083.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234083.indel.vcf.gz,HRA000873,HRR234083,HRR234083.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234083.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,1281111,WXS,WES,2
HRR234083.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234083.indel.vcf.gz.tbi,HRA000873,HRR234083,HRR234083.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234083.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,97715,WXS,WES,2
HRR234085.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234085.indel.vcf.gz,HRA000873,HRR234085,HRR234085.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234085.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,1028290,WXS,WES,2
HRR234085.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234085.indel.vcf.gz.tbi,HRA000873,HRR234085,HRR234085.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234085.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,84659,WXS,WES,2
