t2_id,study_accession,run_accession,file_name,sub_file_name,file_path,format,semantic_format,size,strategy,data_level
HRR067377.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067377.BQSR.bam.bai,HRA000021,HRR067377,HRR067377.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067377.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9056272,WGS,2
HRR067378.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067378.BQSR.bam,HRA000021,HRR067378,HRR067378.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067378.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,149403000000,WGS,2
HRR067378.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067378.BQSR.bam.bai,HRA000021,HRR067378,HRR067378.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067378.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9257528,WGS,2
HRR067379.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067379.BQSR.bam,HRA000021,HRR067379,HRR067379.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067379.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,73275637513,WGS,2
HRR067379.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067379.BQSR.bam.bai,HRA000021,HRR067379,HRR067379.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067379.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9047216,WGS,2
HRR067380.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067380.BQSR.bam,HRA000021,HRR067380,HRR067380.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067380.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,166360000000,WGS,2
HRR067380.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067380.BQSR.bam.bai,HRA000021,HRR067380,HRR067380.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067380.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9361832,WGS,2
HRR067381.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067381.BQSR.bam,HRA000021,HRR067381,HRR067381.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067381.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,83020108103,WGS,2
HRR067381.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067381.BQSR.bam.bai,HRA000021,HRR067381,HRR067381.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067381.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9008224,WGS,2
HRR067382.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067382.BQSR.bam,HRA000021,HRR067382,HRR067382.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067382.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,193663000000,WGS,2
HRR067382.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067382.BQSR.bam.bai,HRA000021,HRR067382,HRR067382.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067382.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9312792,WGS,2
HRR067383.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067383.BQSR.bam,HRA000021,HRR067383,HRR067383.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067383.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,71407848096,WGS,2
HRR067383.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067383.BQSR.bam.bai,HRA000021,HRR067383,HRR067383.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067383.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,8980328,WGS,2
