study_accession,individual_accession,sample_accession,experiment_accession,run_accession,file_name,file_path,file_format,strategy,T1_id,semantic_format,size,platform,data_level,individual_name,sample_name
HRA000021,HRI035294,HRS039808,HRX048850,HRR067363,HRR067363_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067363_2.fastq.gz,fastq.gz,WGS,HRR067363_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067363_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0014,BDESCC0014N
HRA000021,HRI035294,HRS039809,HRX048851,HRR067364,HRR067364_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067364_1.fastq.gz,fastq.gz,WGS,HRR067364_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067364_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0014,BDESCC0014T
HRA000021,HRI035294,HRS039809,HRX048851,HRR067364,HRR067364_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067364_2.fastq.gz,fastq.gz,WGS,HRR067364_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067364_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0014,BDESCC0014T
HRA000021,HRI035295,HRS039810,HRX048852,HRR067365,HRR067365_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067365_1.fastq.gz,fastq.gz,WGS,HRR067365_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067365_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0015,BDESCC0015N
HRA000021,HRI035295,HRS039810,HRX048852,HRR067365,HRR067365_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067365_2.fastq.gz,fastq.gz,WGS,HRR067365_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067365_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0015,BDESCC0015N
HRA000021,HRI035295,HRS039811,HRX048853,HRR067366,HRR067366_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067366_1.fastq.gz,fastq.gz,WGS,HRR067366_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067366_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0015,BDESCC0015T
HRA000021,HRI035295,HRS039811,HRX048853,HRR067366,HRR067366_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067366_2.fastq.gz,fastq.gz,WGS,HRR067366_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067366_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0015,BDESCC0015T
HRA000021,HRI035296,HRS039812,HRX048854,HRR067367,HRR067367_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067367_1.fastq.gz,fastq.gz,WGS,HRR067367_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067367_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0017,BDESCC0017N
HRA000021,HRI035296,HRS039812,HRX048854,HRR067367,HRR067367_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067367_2.fastq.gz,fastq.gz,WGS,HRR067367_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067367_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0017,BDESCC0017N
HRA000021,HRI035296,HRS039813,HRX048855,HRR067368,HRR067368_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067368_1.fastq.gz,fastq.gz,WGS,HRR067368_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067368_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0017,BDESCC0017T
HRA000021,HRI035296,HRS039813,HRX048855,HRR067368,HRR067368_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067368_2.fastq.gz,fastq.gz,WGS,HRR067368_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067368_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0017,BDESCC0017T
