T1_id,sample_accession
HRR067395_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067395_2.fastq.gz,HRS039840
HRR067396_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067396_1.fastq.gz,HRS039841
HRR067396_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067396_2.fastq.gz,HRS039841
HRR067397_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067397_1.fastq.gz,HRS039842
HRR067397_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067397_2.fastq.gz,HRS039842
HRR067398_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067398_1.fastq.gz,HRS039843
HRR067398_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067398_2.fastq.gz,HRS039843
HRR067399_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067399_1.fastq.gz,HRS039844
HRR067399_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067399_2.fastq.gz,HRS039844
HRR067400_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067400_1.fastq.gz,HRS039845
HRR067400_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067400_2.fastq.gz,HRS039845
HRR067401_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067401_1.fastq.gz,HRS039846
HRR067401_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067401_2.fastq.gz,HRS039846
HRR067402_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067402_1.fastq.gz,HRS039847
HRR067402_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067402_2.fastq.gz,HRS039847
HRR067403_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067403_1.fastq.gz,HRS039848
HRR067403_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067403_2.fastq.gz,HRS039848
HRR067404_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067404_1.fastq.gz,HRS039849
HRR067404_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067404_2.fastq.gz,HRS039849
HRR067405_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067405_1.fastq.gz,HRS039850
HRR067405_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067405_2.fastq.gz,HRS039850
HRR067406_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067406_1.fastq.gz,HRS039851
HRR067406_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067406_2.fastq.gz,HRS039851
HRR067407_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067407_1.fastq.gz,HRS039852
HRR067407_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067407_2.fastq.gz,HRS039852
HRR067408_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067408_1.fastq.gz,HRS039853
HRR067408_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067408_2.fastq.gz,HRS039853
HRR067409_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067409_1.fastq.gz,HRS039854
HRR067409_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067409_2.fastq.gz,HRS039854
HRR067410_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067410_1.fastq.gz,HRS039855
HRR067410_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067410_2.fastq.gz,HRS039855
HRR067411_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067411_1.fastq.gz,HRS039856
HRR067411_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067411_2.fastq.gz,HRS039856
HRR067412_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067412_1.fastq.gz,HRS039857
HRR067412_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067412_2.fastq.gz,HRS039857
HRR067413_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067413_1.fastq.gz,HRS039858
HRR067413_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067413_2.fastq.gz,HRS039858
HRR067414_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067414_1.fastq.gz,HRS039859
HRR067414_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067414_2.fastq.gz,HRS039859
HRR067415_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067415_1.fastq.gz,HRS039860
HRR067415_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067415_2.fastq.gz,HRS039860
HRR067416_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067416_1.fastq.gz,HRS039861
HRR067416_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067416_2.fastq.gz,HRS039861
HRR067417_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067417_1.fastq.gz,HRS039862
HRR067417_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067417_2.fastq.gz,HRS039862
HRR067418_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067418_1.fastq.gz,HRS039863
HRR067418_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067418_2.fastq.gz,HRS039863
HRR067419_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067419_1.fastq.gz,HRS039864
HRR067419_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067419_2.fastq.gz,HRS039864
HRR067420_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067420_1.fastq.gz,HRS039865
HRR067420_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067420_2.fastq.gz,HRS039865
HRR067421_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067421_1.fastq.gz,HRS039866
HRR067421_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067421_2.fastq.gz,HRS039866
HRR067422_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067422_1.fastq.gz,HRS039867
HRR067422_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067422_2.fastq.gz,HRS039867
HRR067423_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067423_1.fastq.gz,HRS039868
HRR067423_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067423_2.fastq.gz,HRS039868
