t1_id,semantic_format
HRR067390_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067390_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067391_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067391_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067391_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067391_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067392_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067392_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067392_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067392_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067393_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067393_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067393_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067393_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067394_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067394_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067394_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067394_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067395_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067395_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067395_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067395_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067396_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067396_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067396_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067396_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067397_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067397_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067397_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067397_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067398_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067398_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067398_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067398_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067399_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067399_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067399_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067399_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067400_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067400_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067400_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067400_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067401_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067401_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067401_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067401_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067402_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067402_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067402_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067402_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067403_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067403_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067403_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067403_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067404_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067404_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067404_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067404_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067405_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067405_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067405_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067405_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067406_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067406_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067406_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067406_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067407_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067407_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067407_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067407_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067408_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067408_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067408_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067408_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067409_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067409_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067409_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067409_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
