T2_id,run_accession,T1_id
HRR067359.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067359.BQSR.bam.bai,HRR067359,HRR067359_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067359_1.fastq.gz
HRR067359.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067359.BQSR.bam.bai,HRR067359,HRR067359_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067359_2.fastq.gz
HRR067360.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067360.BQSR.bam,HRR067360,HRR067360_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067360_1.fastq.gz
HRR067360.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067360.BQSR.bam,HRR067360,HRR067360_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067360_2.fastq.gz
HRR067360.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067360.BQSR.bam.bai,HRR067360,HRR067360_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067360_1.fastq.gz
HRR067360.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067360.BQSR.bam.bai,HRR067360,HRR067360_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067360_2.fastq.gz
HRR067361.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067361.BQSR.bam,HRR067361,HRR067361_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067361_1.fastq.gz
HRR067361.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067361.BQSR.bam,HRR067361,HRR067361_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067361_2.fastq.gz
HRR067361.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067361.BQSR.bam.bai,HRR067361,HRR067361_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067361_1.fastq.gz
HRR067361.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067361.BQSR.bam.bai,HRR067361,HRR067361_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067361_2.fastq.gz
HRR067362.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067362.BQSR.bam,HRR067362,HRR067362_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067362_1.fastq.gz
