sample_accession,specimen_types,tissue_type
HRS023919,Patient Solid Tissue,Tumor
HRS023920,Patient Solid Tissue,Tumor
HRS023921,Patient Solid Tissue,Tumor
HRS023922,Patient Solid Tissue,Tumor
HRS023923,Patient Solid Tissue,Tumor
HRS023924,Patient Solid Tissue,Tumor
HRS023925,Patient Solid Tissue,Tumor
HRS023926,Patient Solid Tissue,Tumor
HRS023927,Patient Solid Tissue,Tumor
HRS023928,Patient Solid Tissue,Tumor
HRS023929,Patient Solid Tissue,Tumor
HRS023930,Patient Solid Tissue,Tumor
HRS023931,Patient Solid Tissue,Tumor
HRS023932,Patient Solid Tissue,Tumor
HRS023933,Patient Solid Tissue,Tumor
HRS023934,Patient Solid Tissue,Tumor
HRS023935,Patient Solid Tissue,Tumor
HRS023936,Patient Solid Tissue,Tumor
HRS023937,Patient Solid Tissue,Tumor
HRS023938,Patient Solid Tissue,Tumor
HRS023939,Patient Solid Tissue,Tumor
HRS023940,Patient Solid Tissue,Tumor
HRS023941,Patient Solid Tissue,Tumor
HRS023942,Patient Solid Tissue,Tumor
HRS023943,Patient Solid Tissue,Tumor
HRS023944,Patient Solid Tissue,Tumor
HRS023945,Patient Solid Tissue,Tumor
HRS023946,Patient Solid Tissue,Tumor
HRS023947,Patient Solid Tissue,Tumor
HRS023948,Patient Solid Tissue,Tumor
HRS023949,Patient Solid Tissue,Tumor
HRS023950,Patient Solid Tissue,Tumor
HRS023951,Patient Solid Tissue,Tumor
HRS023952,Patient Solid Tissue,Tumor
HRS023953,Patient Solid Tissue,Tumor
HRS023954,Patient Solid Tissue,Tumor
HRS024297,Patient Solid Tissue,Tumor
HRS024298,Patient Solid Tissue,Tumor
HRS024299,Patient Solid Tissue,Tumor
HRS024300,Patient Solid Tissue,Tumor
HRS024301,Patient Solid Tissue,Tumor
HRS024302,Patient Solid Tissue,Tumor
HRS024303,Patient Solid Tissue,Tumor
HRS024304,Patient Solid Tissue,Tumor
HRS024305,Patient Solid Tissue,Tumor
HRS024306,Patient Solid Tissue,Tumor
HRS024307,Patient Solid Tissue,Tumor
HRS024308,Patient Solid Tissue,Tumor
HRS024309,Patient Solid Tissue,Tumor
HRS024310,Patient Solid Tissue,Tumor
HRS024311,Patient Solid Tissue,Tumor
HRS024312,Patient Solid Tissue,Tumor
HRS024313,Patient Solid Tissue,Tumor
HRS024314,Patient Solid Tissue,Tumor
HRS024315,Patient Solid Tissue,Tumor
HRS024316,Patient Solid Tissue,Tumor
HRS024317,Patient Solid Tissue,Tumor
HRS024318,Patient Solid Tissue,Tumor
HRS024319,Patient Solid Tissue,Tumor
HRS024320,Patient Solid Tissue,Tumor
HRS024321,Patient Solid Tissue,Tumor
HRS024322,Patient Solid Tissue,Tumor
HRS024323,Patient Solid Tissue,Tumor
HRS024324,Patient Solid Tissue,Tumor
HRS024325,Patient Solid Tissue,Tumor
HRS024326,Patient Solid Tissue,Tumor
HRS024327,Patient Solid Tissue,Tumor
HRS024328,Patient Solid Tissue,Tumor
HRS024329,Patient Solid Tissue,Tumor
HRS024330,Patient Solid Tissue,Tumor
HRS024331,Patient Solid Tissue,Tumor
HRS024332,Patient Solid Tissue,Tumor
HRS024333,Patient Solid Tissue,Tumor
HRS024334,Patient Solid Tissue,Tumor
HRS024335,Patient Solid Tissue,Tumor
HRS024336,Patient Solid Tissue,Tumor
HRS024337,Patient Solid Tissue,Tumor
HRS024338,Patient Solid Tissue,Tumor
HRS024339,Patient Solid Tissue,Tumor
HRS024340,Patient Solid Tissue,Tumor
HRS024341,Patient Solid Tissue,Tumor
HRS024342,Patient Solid Tissue,Tumor
HRS024343,Patient Solid Tissue,Tumor
HRS024344,Patient Solid Tissue,Tumor
HRS024345,Patient Solid Tissue,Tumor
HRS024346,Patient Solid Tissue,Tumor
