files,data_level
HRR024942_f1.fq.gz,1
HRR024942_r2.fq.gz,1
HRR024943_f1.fq.gz,1
HRR024943_r2.fq.gz,1
HRR024944_f1.fq.gz,1
HRR024944_r2.fq.gz,1
HRR024945_f1.fq.gz,1
HRR024945_r2.fq.gz,1
HRR024946_f1.fq.gz,1
HRR024946_r2.fq.gz,1
HRR024947_f1.fq.gz,1
HRR024947_r2.fq.gz,1
HRR024948_f1.fq.gz,1
HRR024948_r2.fq.gz,1
HRR024949_f1.fq.gz,1
HRR024949_r2.fq.gz,1
HRR024950_f1.fq.gz,1
HRR024950_r2.fq.gz,1
HRR024951_f1.fq.gz,1
HRR024951_r2.fq.gz,1
HRR024952_f1.fq.gz,1
HRR024952_r2.fq.gz,1
HRR024953_f1.fq.gz,1
HRR024953_r2.fq.gz,1
HRR024954_f1.fq.gz,1
HRR024954_r2.fq.gz,1
HRR024955_f1.fq.gz,1
HRR024955_r2.fq.gz,1
HRR024956_f1.fq.gz,1
HRR024956_r2.fq.gz,1
HRR024957_f1.fq.gz,1
HRR024957_r2.fq.gz,1
HRR024958_f1.fq.gz,1
HRR024958_r2.fq.gz,1
HRR024959_f1.fq.gz,1
HRR024959_r2.fq.gz,1
HRR024960_f1.fq.gz,1
HRR024960_r2.fq.gz,1
HRR024961_f1.fq.gz,1
HRR024961_r2.fq.gz,1
HRR024962_f1.fq.gz,1
HRR024962_r2.fq.gz,1
HRR024963_f1.fq.gz,1
HRR024963_r2.fq.gz,1
HRR024964_f1.fq.gz,1
HRR024964_r2.fq.gz,1
HRR024965_f1.fq.gz,1
HRR024965_r2.fq.gz,1
HRR024966_f1.fq.gz,1
HRR024966_r2.fq.gz,1
HRR024967_f1.fq.gz,1
HRR024967_r2.fq.gz,1
HRR024968_f1.fq.gz,1
HRR024968_r2.fq.gz,1
HRR024969_f1.fq.gz,1
HRR024969_r2.fq.gz,1
HRR024970_f1.fq.gz,1
HRR024970_r2.fq.gz,1
HRR024971_f1.fq.gz,1
HRR024971_r2.fq.gz,1
HRR024972_f1.fq.gz,1
HRR024972_r2.fq.gz,1
HRR024973_f1.fq.gz,1
HRR024973_r2.fq.gz,1
HRR024974_f1.fq.gz,1
HRR024974_r2.fq.gz,1
HRR024975_f1.fq.gz,1
HRR024975_r2.fq.gz,1
HRR024976_f1.fq.gz,1
HRR024976_r2.fq.gz,1
HRR024977_f1.fq.gz,1
HRR024977_r2.fq.gz,1
HRR024978_f1.fq.gz,1
HRR024978_r2.fq.gz,1
HRR024979_f1.fq.gz,1
HRR024979_r2.fq.gz,1
HRR024980_f1.fq.gz,1
HRR024980_r2.fq.gz,1
HRR024981_f1.fq.gz,1
HRR024981_r2.fq.gz,1
HRR024982_f1.fq.gz,1
