sample_accession,individual_accession
HRS024440,HRI024440
HRS024441,HRI024441
HRS024442,HRI024442
HRS024443,HRI024443
HRS024444,HRI024444
HRS024445,HRI024445
HRS024446,HRI024446
HRS024447,HRI024447
HRS024448,HRI024448
HRS024449,HRI024449
HRS024450,HRI024450
HRS024451,HRI024451
HRS024452,HRI024452
HRS024453,HRI024453
HRS024454,HRI024454
HRS024455,HRI024455
HRS024456,HRI024456
HRS024457,HRI024457
HRS024458,HRI024458
HRS024459,HRI024459
HRS024460,HRI024460
HRS024461,HRI024461
HRS024462,HRI024462
HRS024463,HRI024463
HRS024464,HRI024464
HRS024465,HRI024465
HRS024466,HRI024466
HRS024467,HRI024467
HRS024468,HRI024468
HRS024469,HRI024469
HRS024470,HRI024470
HRS024471,HRI024471
HRS024472,HRI024472
HRS024473,HRI024473
HRS024474,HRI024474
HRS024475,HRI024475
HRS024476,HRI024476
HRS024477,HRI024477
HRS024478,HRI024478
HRS024479,HRI024479
HRS024480,HRI024480
HRS024481,HRI024481
HRS024482,HRI024482
HRS024483,HRI024483
HRS024484,HRI024484
HRS024485,HRI024485
HRS024486,HRI024486
HRS024487,HRI024487
HRS024488,HRI024488
HRS024489,HRI024489
HRS024490,HRI024490
HRS024491,HRI024491
HRS024492,HRI024492
HRS024493,HRI024493
HRS024494,HRI024494
HRS024495,HRI024495
HRS024496,HRI024496
HRS024497,HRI024497
HRS024498,HRI024498
HRS024499,HRI024499
HRS024500,HRI024500
HRS024501,HRI024501
HRS024502,HRI024502
HRS024503,HRI024503
HRS024504,HRI024504
HRS024505,HRI024505
HRS024506,HRI024506
HRS024507,HRI024507
HRS024508,HRI024508
HRS024509,HRI024509
HRS024510,HRI024510
HRS024511,HRI024511
HRS024512,HRI024512
HRS024513,HRI024513
HRS024514,HRI024514
HRS024515,HRI024515
HRS024516,HRI024516
HRS024517,HRI024517
HRS024518,HRI024518
HRS024519,HRI024519
HRS024520,HRI024520
HRS024521,HRI024521
HRS024522,HRI024522
HRS024523,HRI024523
HRS024524,HRI024524
HRS024525,HRI024525
HRS024526,HRI024526
HRS024527,HRI024527
HRS024528,HRI024528
HRS024529,HRI024529
HRS024530,HRI024530
HRS024531,HRI024531
HRS024532,HRI024532
HRS024533,HRI024533
HRS024534,HRI024534
HRS024535,HRI024535
HRS024536,HRI024536
HRS024537,HRI024537
HRS024538,HRI024538
HRS024539,HRI024539
HRS024540,HRI024540
HRS024541,HRI024541
HRS024542,HRI024542
HRS024543,HRI024543
HRS024544,HRI024544
HRS024545,HRI024545
HRS024546,HRI024546
HRS024547,HRI024547
HRS024548,HRI024548
HRS024549,HRI024549
HRS024550,HRI024550
HRS024551,HRI024551
HRS024552,HRI024552
HRS024553,HRI024553
HRS024554,HRI024554
HRS024555,HRI024555
HRS024556,HRI024556
HRS024557,HRI024557
HRS024558,HRI024558
HRS024559,HRI024559
HRS024560,HRI024560
HRS024561,HRI024561
HRS024562,HRI024562
HRS024563,HRI024563
HRS024564,HRI024564
HRS024565,HRI024565
HRS024566,HRI024566
HRS024567,HRI024567
HRS024568,HRI024568
HRS024569,HRI024569
HRS024570,HRI024570
HRS024571,HRI024571
HRS024572,HRI024572
HRS024573,HRI024573
HRS024574,HRI024574
HRS024575,HRI024575
HRS024576,HRI024576
HRS024577,HRI024577
HRS024578,HRI024578
HRS024579,HRI024579
HRS024580,HRI024580
HRS024581,HRI024581
HRS024582,HRI024582
HRS024583,HRI024583
HRS024584,HRI024584
HRS024585,HRI024585
HRS024586,HRI024586
HRS024587,HRI024587
HRS024588,HRI024588
HRS024589,HRI024589
HRS024590,HRI024590
HRS024591,HRI024591
HRS024592,HRI024592
HRS024593,HRI024593
HRS024594,HRI024594
HRS024595,HRI024595
HRS024596,HRI024596
HRS024597,HRI024597
HRS024598,HRI024598
HRS024599,HRI024599
HRS024600,HRI024600
HRS024601,HRI024601
HRS024602,HRI024602
HRS024603,HRI024603
HRS024604,HRI024604
HRS024605,HRI024605
HRS024606,HRI024606
HRS024607,HRI024607
HRS024608,HRI024608
HRS024609,HRI024609
HRS024610,HRI024610
HRS024611,HRI024611
HRS024612,HRI024612
HRS024613,HRI024613
HRS024614,HRI024614
HRS024615,HRI024615
HRS024616,HRI024616
HRS024617,HRI024617
HRS024618,HRI024618
HRS024619,HRI024619
HRS024620,HRI024620
HRS024621,HRI024621
HRS024622,HRI024622
HRS024623,HRI024623
HRS024624,HRI024624
HRS024625,HRI024625
HRS024626,HRI024626
HRS024627,HRI024627
HRS024628,HRI024628
HRS024629,HRI024629
HRS024630,HRI024630
HRS024631,HRI024631
HRS024632,HRI024632
HRS024633,HRI024633
