type,start,end,properties_json
HAS_OUTPUT_SLOT,tool_id:paired_fastq_to_unmapped_bam,io_slot:paired_fastq_to_unmapped_bam::out::bam,"{""order"":1}"
HAS_OUTPUT_SLOT,tool_id:paired_fastq_to_unmapped_bam,io_slot:paired_fastq_to_unmapped_bam::out::list,"{""order"":2}"
HAS_OUTPUT_SLOT,tool_id:rnaseq_singletask,io_slot:rnaseq_singletask::output::aligned_bam,{}
HAS_OUTPUT_SLOT,tool_id:rnaseq_singletask,io_slot:rnaseq_singletask::output::count_matrix,{}
HAS_OUTPUT_SLOT,tool_id:rnaseq_singletask,io_slot:rnaseq_singletask::output::expression_matrix,{}
HAS_OUTPUT_SLOT,tool_id:rnaseq_singletask,io_slot:rnaseq_singletask::output::quality_control,{}
HAS_OUTPUT_SLOT,tool_id:rnaseq_unsupervised_cluster,io_slot:rnaseq_unsupervised_cluster::out::assignments,"{""order"":1}"
HAS_OUTPUT_SLOT,tool_id:rnaseq_unsupervised_cluster,io_slot:rnaseq_unsupervised_cluster::out::figures,"{""order"":3}"
HAS_OUTPUT_SLOT,tool_id:rnaseq_unsupervised_cluster,io_slot:rnaseq_unsupervised_cluster::out::stability,"{""order"":2}"
HAS_OUTPUT_SLOT,tool_id:rsem,io_slot:rsem::output::expression_abundance_matrix,{}
HAS_OUTPUT_SLOT,tool_id:samtools,io_slot:samtools::output::sorted_dedup_bam,{}
HAS_OUTPUT_SLOT,tool_id:snpeff,io_slot:snpeff::output::annotated_vcf,{}
HAS_OUTPUT_SLOT,tool_id:star,io_slot:star::output::aligned_bam,{}
HAS_OUTPUT_SLOT,tool_id:star,io_slot:star::output::clean_fastq_read,{}
HAS_OUTPUT_SLOT,tool_id:star,io_slot:star::output::transcriptome_bam,{}
HAS_OUTPUT_SLOT,tool_id:survival_analysis,io_slot:survival_analysis::out::figures,"{""order"":2}"
HAS_OUTPUT_SLOT,tool_id:survival_analysis,io_slot:survival_analysis::out::statistics,"{""order"":1}"
HAS_OUTPUT_SLOT,tool_id:tmb_survival_analysis,io_slot:tmb_survival_analysis::out::figures,"{""order"":3}"
HAS_OUTPUT_SLOT,tool_id:tmb_survival_analysis,io_slot:tmb_survival_analysis::out::statistics,"{""order"":2}"
HAS_OUTPUT_SLOT,tool_id:tmb_survival_analysis,io_slot:tmb_survival_analysis::out::tmb,"{""order"":1}"
HAS_OUTPUT_SLOT,tool_id:trim_galore,io_slot:trim_galore::output::clean_fastq_read,{}
HAS_OUTPUT_SLOT,tool_id:wes_somatic_maf_landscape,io_slot:wes_somatic_maf_landscape::out::figures,"{""order"":3}"
HAS_OUTPUT_SLOT,tool_id:wes_somatic_maf_landscape,io_slot:wes_somatic_maf_landscape::out::maf,"{""order"":1}"
HAS_OUTPUT_SLOT,tool_id:wes_somatic_maf_landscape,io_slot:wes_somatic_maf_landscape::out::statistics,"{""order"":2}"
HAS_OUTPUT_SLOT,tool_id:wgcna,io_slot:wgcna::out::archives,"{""order"":5}"
HAS_OUTPUT_SLOT,tool_id:wgcna,io_slot:wgcna::out::figures,"{""order"":4}"
HAS_OUTPUT_SLOT,tool_id:wgcna,io_slot:wgcna::out::hub_genes,"{""order"":2}"
HAS_OUTPUT_SLOT,tool_id:wgcna,io_slot:wgcna::out::modules,"{""order"":1}"
