sample_accession,individual_accession
HRS040571,HRI035675
HRS040572,HRI035676
HRS040573,HRI035676
HRS040574,HRI035677
HRS040575,HRI035677
HRS040576,HRI035678
HRS040577,HRI035678
HRS040578,HRI035679
HRS040579,HRI035679
HRS040580,HRI035680
HRS040581,HRI035680
HRS040582,HRI035681
HRS040583,HRI035681
HRS040584,HRI035682
HRS040585,HRI035682
HRS040586,HRI035683
HRS040587,HRI035683
HRS040588,HRI035684
HRS040589,HRI035684
HRS040590,HRI035685
HRS040591,HRI035685
HRS040592,HRI035686
HRS040593,HRI035686
HRS040594,HRI035687
HRS040595,HRI035687
HRS040596,HRI035688
HRS040597,HRI035688
HRS040598,HRI035689
HRS040599,HRI035689
HRS040600,HRI035690
HRS040601,HRI035690
HRS040602,HRI035691
HRS040603,HRI035691
HRS040604,HRI035692
HRS040605,HRI035692
HRS040606,HRI035693
HRS040607,HRI035693
HRS040608,HRI035694
HRS040609,HRI035694
HRS040610,HRI035695
HRS040611,HRI035695
HRS040612,HRI035696
HRS040613,HRI035696
HRS040614,HRI035697
HRS040615,HRI035697
HRS040616,HRI035698
HRS040617,HRI035698
HRS040618,HRI035699
HRS040619,HRI035699
HRS040620,HRI035700
HRS040621,HRI035700
HRS040622,HRI035701
HRS040623,HRI035701
HRS040624,HRI035702
HRS040625,HRI035702
HRS040626,HRI035703
HRS040627,HRI035703
HRS040628,HRI035704
HRS040629,HRI035704
HRS040630,HRI035705
HRS040631,HRI035705
HRS040632,HRI035706
HRS040633,HRI035706
HRS040634,HRI035707
HRS040635,HRI035707
HRS040636,HRI035708
HRS040637,HRI035708
HRS040638,HRI035709
HRS040639,HRI035709
HRS040640,HRI035710
HRS040641,HRI035710
HRS040642,HRI035711
HRS040643,HRI035711
HRS040644,HRI035712
HRS040645,HRI035712
HRS040646,HRI035713
HRS040647,HRI035713
HRS040648,HRI035714
HRS040649,HRI035714
HRS040650,HRI035715
HRS040651,HRI035715
HRS040652,HRI035716
HRS040653,HRI035716
HRS040654,HRI035717
HRS040655,HRI035717
HRS040656,HRI035718
HRS040657,HRI035718
HRS040658,HRI035719
HRS040659,HRI035719
HRS040660,HRI035720
HRS040661,HRI035720
HRS040662,HRI035721
HRS040663,HRI035721
HRS040664,HRI035722
HRS040665,HRI035722
HRS040666,HRI035723
HRS040667,HRI035723
HRS040668,HRI035724
HRS040669,HRI035724
HRS040670,HRI035725
HRS040671,HRI035725
HRS040672,HRI035726
HRS040673,HRI035726
HRS040674,HRI035727
HRS040675,HRI035727
HRS040676,HRI035728
HRS040677,HRI035728
HRS040678,HRI035729
HRS040679,HRI035729
HRS040680,HRI035730
HRS040681,HRI035730
HRS040682,HRI035731
HRS040683,HRI035731
HRS040684,HRI035732
HRS040685,HRI035732
HRS040686,HRI035733
HRS040687,HRI035733
HRS040688,HRI035734
HRS040689,HRI035734
HRS040690,HRI035735
HRS040691,HRI035735
HRS040692,HRI035736
HRS040693,HRI035736
HRS040694,HRI035737
HRS040695,HRI035737
HRS040696,HRI035738
HRS040697,HRI035738
HRS040698,HRI035739
HRS040699,HRI035739
HRS040700,HRI035740
HRS040701,HRI035740
HRS040702,HRI035741
HRS040703,HRI035741
HRS040704,HRI035742
HRS040705,HRI035742
HRS040706,HRI035743
HRS040707,HRI035743
HRS040708,HRI035744
HRS040709,HRI035744
HRS040710,HRI035745
HRS040711,HRI035745
HRS040712,HRI035746
HRS040713,HRI035746
HRS040714,HRI035747
HRS040715,HRI035747
HRS040716,HRI035748
HRS040717,HRI035748
HRS040718,HRI035749
HRS040719,HRI035749
HRS040720,HRI035750
HRS040721,HRI035750
HRS040722,HRI035751
HRS040723,HRI035751
HRS040724,HRI035752
HRS040725,HRI035752
HRS040726,HRI035753
HRS040727,HRI035753
HRS040728,HRI035754
HRS040729,HRI035754
HRS040730,HRI035755
HRS040731,HRI035755
HRS040732,HRI035756
HRS040733,HRI035756
HRS040734,HRI035757
HRS040735,HRI035757
HRS040736,HRI035758
HRS040737,HRI035758
HRS040738,HRI035759
HRS040739,HRI035759
HRS040740,HRI035760
HRS040741,HRI035760
HRS040742,HRI035761
HRS040743,HRI035761
HRS040744,HRI035762
HRS040745,HRI035762
HRS040746,HRI035763
HRS040747,HRI035763
HRS040748,HRI035764
HRS040749,HRI035764
HRS040750,HRI035765
HRS040751,HRI035765
HRS040752,HRI035766
HRS040753,HRI035766
HRS040754,HRI035767
HRS040755,HRI035767
HRS040756,HRI035768
HRS040757,HRI035768
HRS040758,HRI035769
HRS040759,HRI035769
HRS040760,HRI035770
HRS040761,HRI035770
HRS040762,HRI035771
HRS040763,HRI035771
HRS040764,HRI035772
HRS040765,HRI035772
HRS040766,HRI035773
