files,format
HRR067740.bam::NOT_FOUND,UNMAPPEDBAM
HRR067741.bam::NOT_FOUND,UNMAPPEDBAM
HRR067742.bam::NOT_FOUND,UNMAPPEDBAM
HRR067743.bam::NOT_FOUND,UNMAPPEDBAM
HRR067744.bam::NOT_FOUND,UNMAPPEDBAM
HRR067745.bam::NOT_FOUND,UNMAPPEDBAM
HRR067746.bam::NOT_FOUND,UNMAPPEDBAM
HRR067747.bam::NOT_FOUND,UNMAPPEDBAM
HRR067748.bam::NOT_FOUND,UNMAPPEDBAM
HRR067749.bam::NOT_FOUND,UNMAPPEDBAM
HRR067750.bam::NOT_FOUND,UNMAPPEDBAM
HRR067751.bam::NOT_FOUND,UNMAPPEDBAM
HRR067752.bam::NOT_FOUND,UNMAPPEDBAM
HRR067753.bam::NOT_FOUND,UNMAPPEDBAM
HRR067754.bam::NOT_FOUND,UNMAPPEDBAM
HRR067755.bam::NOT_FOUND,UNMAPPEDBAM
HRR067756.bam::NOT_FOUND,UNMAPPEDBAM
HRR067757.bam::NOT_FOUND,UNMAPPEDBAM
HRR067758.bam::NOT_FOUND,UNMAPPEDBAM
HRR067759.bam::NOT_FOUND,UNMAPPEDBAM
HRR067760.bam::NOT_FOUND,UNMAPPEDBAM
HRR067761.bam::NOT_FOUND,UNMAPPEDBAM
HRR067762.bam::NOT_FOUND,UNMAPPEDBAM
HRR067763.bam::NOT_FOUND,UNMAPPEDBAM
HRR067764.bam::NOT_FOUND,UNMAPPEDBAM
HRR067765.bam::NOT_FOUND,UNMAPPEDBAM
HRR067766.bam::NOT_FOUND,UNMAPPEDBAM
HRR067767.bam::NOT_FOUND,UNMAPPEDBAM
HRR067768.bam::NOT_FOUND,UNMAPPEDBAM
HRR067769.bam::NOT_FOUND,UNMAPPEDBAM
HRR067770.bam::NOT_FOUND,UNMAPPEDBAM
HRR067771.bam::NOT_FOUND,UNMAPPEDBAM
HRR067772.bam::NOT_FOUND,UNMAPPEDBAM
HRR067773.bam::NOT_FOUND,UNMAPPEDBAM
HRR067774.bam::NOT_FOUND,UNMAPPEDBAM
HRR067775.bam::NOT_FOUND,UNMAPPEDBAM
HRR067776.bam::NOT_FOUND,UNMAPPEDBAM
HRR067777.bam::NOT_FOUND,UNMAPPEDBAM
HRR067778.bam::NOT_FOUND,UNMAPPEDBAM
HRR067779.bam::NOT_FOUND,UNMAPPEDBAM
HRR067780.bam::NOT_FOUND,UNMAPPEDBAM
HRR067781.bam::NOT_FOUND,UNMAPPEDBAM
HRR067782.bam::NOT_FOUND,UNMAPPEDBAM
HRR067783.bam::NOT_FOUND,UNMAPPEDBAM
HRR067784.bam::NOT_FOUND,UNMAPPEDBAM
HRR067785.bam::NOT_FOUND,UNMAPPEDBAM
HRR067786.bam::NOT_FOUND,UNMAPPEDBAM
HRR067787.bam::NOT_FOUND,UNMAPPEDBAM
HRR067788.bam::NOT_FOUND,UNMAPPEDBAM
HRR067789.bam::NOT_FOUND,UNMAPPEDBAM
HRR067790.bam::NOT_FOUND,UNMAPPEDBAM
HRR067791.bam::NOT_FOUND,UNMAPPEDBAM
HRR067792.bam::NOT_FOUND,UNMAPPEDBAM
HRR067793.bam::NOT_FOUND,UNMAPPEDBAM
HRR067794.bam::NOT_FOUND,UNMAPPEDBAM
HRR067795.bam::NOT_FOUND,UNMAPPEDBAM
HRR067796.bam::NOT_FOUND,UNMAPPEDBAM
HRR067797.bam::NOT_FOUND,UNMAPPEDBAM
HRR067798.bam::NOT_FOUND,UNMAPPEDBAM
HRR067799.bam::NOT_FOUND,UNMAPPEDBAM
HRR067800.bam::NOT_FOUND,UNMAPPEDBAM
HRR067801.bam::NOT_FOUND,UNMAPPEDBAM
HRR067802.bam::NOT_FOUND,UNMAPPEDBAM
HRR067803.bam::NOT_FOUND,UNMAPPEDBAM
HRR067804.bam::NOT_FOUND,UNMAPPEDBAM
