run_accession,sample_accession
HRR068199,HRS040644
HRR068200,HRS040645
HRR068201,HRS040646
HRR068202,HRS040647
HRR068203,HRS040648
HRR068204,HRS040649
HRR068205,HRS040650
HRR068206,HRS040651
HRR068207,HRS040652
HRR068208,HRS040653
HRR068209,HRS040654
HRR068210,HRS040655
HRR068211,HRS040656
HRR068212,HRS040657
HRR068213,HRS040658
HRR068214,HRS040659
HRR068215,HRS040660
HRR068216,HRS040661
HRR068217,HRS040662
HRR068218,HRS040663
HRR068219,HRS040664
HRR068220,HRS040665
HRR068221,HRS040666
HRR068222,HRS040667
HRR068223,HRS040668
HRR068224,HRS040669
HRR068225,HRS040670
HRR068226,HRS040671
HRR068227,HRS040672
HRR068228,HRS040673
HRR068229,HRS040674
HRR068230,HRS040675
HRR068231,HRS040676
HRR068232,HRS040677
HRR068233,HRS040678
HRR068234,HRS040679
HRR068235,HRS040680
HRR068236,HRS040681
HRR068237,HRS040682
HRR068238,HRS040683
HRR068239,HRS040684
HRR068240,HRS040685
HRR068241,HRS040686
HRR068242,HRS040687
HRR068243,HRS040688
HRR068244,HRS040689
HRR068245,HRS040690
HRR068246,HRS040691
HRR068247,HRS040692
HRR068248,HRS040693
HRR068249,HRS040694
HRR068250,HRS040695
HRR068251,HRS040696
HRR068252,HRS040697
HRR068253,HRS040698
HRR068254,HRS040699
HRR068255,HRS040700
HRR068256,HRS040701
HRR068257,HRS040702
HRR068258,HRS040703
HRR068259,HRS040704
HRR068260,HRS040705
HRR068261,HRS040706
HRR068262,HRS040707
HRR068263,HRS040708
HRR068264,HRS040709
HRR068265,HRS040710
HRR068266,HRS040711
HRR068267,HRS040712
HRR068268,HRS040713
HRR068269,HRS040714
HRR068270,HRS040715
HRR068271,HRS040716
HRR068272,HRS040717
HRR068273,HRS040718
HRR068274,HRS040719
HRR068275,HRS040720
HRR068276,HRS040721
HRR068277,HRS040722
HRR068278,HRS040723
HRR068279,HRS040724
HRR068280,HRS040725
HRR068281,HRS040726
HRR068282,HRS040727
HRR068283,HRS040728
HRR068284,HRS040729
HRR068285,HRS040730
HRR068286,HRS040731
HRR068287,HRS040732
HRR068288,HRS040733
HRR068289,HRS040734
HRR068290,HRS040735
HRR068291,HRS040736
HRR068292,HRS040737
HRR068293,HRS040738
HRR068294,HRS040739
HRR068295,HRS040740
HRR068296,HRS040741
HRR068297,HRS040742
HRR068298,HRS040743
HRR068299,HRS040744
HRR068300,HRS040745
HRR068301,HRS040746
HRR068302,HRS040747
HRR068303,HRS040748
HRR068304,HRS040749
HRR068305,HRS040750
HRR068306,HRS040751
HRR068307,HRS040752
HRR068308,HRS040753
HRR068309,HRS040754
HRR068310,HRS040755
HRR068311,HRS040756
HRR068312,HRS040757
HRR068313,HRS040758
HRR068314,HRS040759
HRR068315,HRS040760
HRR068316,HRS040761
HRR068317,HRS040762
HRR068318,HRS040763
HRR068319,HRS040764
HRR068320,HRS040765
HRR068321,HRS040766
HRR068322,HRS040767
HRR068323,HRS040768
HRR068324,HRS040769
HRR068325,HRS040770
HRR068326,HRS040771
HRR068327,HRS040772
HRR068328,HRS040773
HRR068329,HRS040774
HRR068330,HRS040775
HRR068331,HRS040776
HRR068332,HRS040777
HRR068333,HRS040778
HRR068334,HRS040779
HRR068335,HRS040780
HRR068336,HRS040781
HRR068337,HRS040782
HRR068338,HRS040783
HRR068339,HRS040784
HRR068340,HRS040785
HRR068341,HRS040786
HRR068342,HRS040787
HRR068343,HRS040788
HRR068344,HRS040789
HRR068345,HRS040790
HRR068346,HRS040791
HRR068347,HRS040792
HRR068348,HRS040793
HRR068349,HRS040794
HRR068350,HRS040795
HRR068351,HRS040796
HRR068352,HRS040797
HRR068353,HRS040798
HRR068354,HRS040799
HRR068355,HRS040800
HRR068356,HRS040801
HRR068357,HRS040802
HRR068358,HRS040803
HRR068359,HRS040804
HRR068360,HRS040805
HRR068361,HRS040806
HRR068362,HRS040807
HRR024685,HRS023383
HRR024686,HRS023384
HRR024687,HRS023385
HRR024688,HRS023386
HRR024689,HRS023387
HRR024690,HRS023388
HRR024691,HRS023389
HRR024692,HRS023390
HRR024693,HRS023391
HRR024694,HRS023392
HRR024695,HRS023393
HRR024696,HRS023394
HRR024697,HRS023395
HRR024698,HRS023396
HRR024699,HRS023397
HRR024700,HRS023398
HRR024701,HRS023399
HRR024702,HRS023400
HRR024703,HRS023401
HRR024704,HRS023402
HRR024705,HRS023403
HRR024706,HRS023404
HRR024707,HRS023405
HRR024708,HRS023406
HRR024709,HRS023407
HRR024710,HRS023408
HRR024711,HRS023409
HRR024712,HRS023410
HRR024713,HRS023411
HRR024714,HRS023412
HRR024715,HRS023413
HRR024716,HRS023414
HRR024717,HRS023415
HRR024718,HRS023416
HRR024719,HRS023417
HRR024720,HRS023418
HRR024721,HRS023419
HRR024722,HRS023420
HRR024723,HRS023421
HRR024724,HRS023422
HRR024725,HRS023423
HRR024726,HRS023424
HRR024727,HRS023425
HRR024728,HRS023426
HRR024729,HRS023427
HRR024730,HRS023428
HRR024731,HRS023429
HRR024732,HRS023430
HRR024733,HRS023431
HRR024734,HRS023432
HRR024735,HRS023433
HRR024736,HRS023434
HRR024737,HRS023435
HRR024738,HRS023436
HRR024739,HRS023437
HRR024740,HRS023438
HRR024741,HRS023439
HRR024742,HRS023440
HRR024743,HRS023441
HRR024744,HRS023442
HRR024745,HRS023443
HRR024746,HRS023444
HRR024747,HRS023445
HRR024748,HRS023446
HRR024749,HRS023447
HRR024750,HRS023448
HRR024751,HRS023449
HRR024752,HRS023450
HRR024753,HRS023451
HRR024754,HRS023452
HRR024755,HRS023453
HRR024756,HRS023454
HRR024757,HRS023455
HRR024758,HRS023456
HRR024759,HRS023457
HRR024760,HRS023458
HRR024761,HRS023459
HRR024762,HRS023460
HRR024763,HRS023461
HRR024764,HRS023462
HRR024765,HRS023463
HRR024766,HRS023464
HRR024767,HRS023465
HRR024768,HRS023466
HRR024769,HRS023467
HRR024770,HRS023468
HRR024771,HRS023469
HRR024772,HRS023470
HRR024773,HRS023471
HRR024774,HRS023472
HRR024775,HRS023473
HRR024776,HRS023474
HRR024777,HRS023475
HRR024778,HRS023476
HRR024779,HRS023477
HRR024780,HRS023478
HRR024781,HRS023479
HRR024782,HRS023480
HRR024783,HRS023481
HRR024784,HRS023482
HRR024785,HRS023483
HRR024786,HRS023484
HRR024787,HRS023485
HRR024788,HRS023486
HRR024789,HRS023487
HRR024790,HRS023488
HRR024791,HRS023489
HRR024792,HRS023490
HRR024793,HRS023491
HRR024794,HRS023492
HRR024795,HRS023493
HRR024796,HRS023494
HRR024797,HRS023495
HRR024798,HRS023496
HRR024799,HRS023497
HRR024800,HRS023498
HRR024801,HRS023499
HRR024802,HRS023500
HRR024803,HRS023501
HRR024804,HRS023502
HRR024805,HRS023503
HRR024806,HRS023504
HRR024807,HRS023505
HRR024808,HRS023506
HRR024809,HRS023507
HRR024810,HRS023508
HRR024811,HRS023509
HRR024812,HRS023510
HRR024813,HRS023511
HRR024814,HRS023512
HRR024815,HRS023513
HRR024816,HRS023514
HRR024817,HRS023515
HRR024818,HRS023516
HRR024819,HRS023517
HRR024820,HRS023518
HRR024821,HRS023519
HRR024822,HRS023520
HRR024823,HRS023521
HRR024824,HRS023522
HRR024825,HRS023523
HRR024826,HRS023524
HRR024827,HRS023525
HRR024828,HRS023526
HRR024829,HRS023527
HRR024830,HRS023528
