files,modal
HRR068170.bam::NOT_FOUND,WES
HRR068171.bam::NOT_FOUND,WES
HRR067359.bam::NOT_FOUND,WES
HRR068172.bam::NOT_FOUND,WES
HRR068173.bam::NOT_FOUND,WES
HRR067360.bam::NOT_FOUND,WES
HRR068174.bam::NOT_FOUND,WES
HRR068175.bam::NOT_FOUND,WES
HRR067361.bam::NOT_FOUND,WES
HRR068176.bam::NOT_FOUND,WES
HRR068177.bam::NOT_FOUND,WES
HRR067362.bam::NOT_FOUND,WES
HRR068178.bam::NOT_FOUND,WES
HRR068179.bam::NOT_FOUND,WES
HRR067363.bam::NOT_FOUND,WES
HRR068180.bam::NOT_FOUND,WES
HRR068181.bam::NOT_FOUND,WES
HRR067364.bam::NOT_FOUND,WES
HRR068182.bam::NOT_FOUND,WES
HRR068183.bam::NOT_FOUND,WES
HRR067365.bam::NOT_FOUND,WES
HRR068184.bam::NOT_FOUND,WES
HRR068185.bam::NOT_FOUND,WES
HRR067366.bam::NOT_FOUND,WES
HRR068186.bam::NOT_FOUND,WES
HRR068187.bam::NOT_FOUND,WES
HRR067367.bam::NOT_FOUND,WES
HRR068188.bam::NOT_FOUND,WES
HRR068189.bam::NOT_FOUND,WES
HRR068190.bam::NOT_FOUND,WES
HRR067368.bam::NOT_FOUND,WES
HRR068191.bam::NOT_FOUND,WES
HRR067369.bam::NOT_FOUND,WES
HRR068192.bam::NOT_FOUND,WES
HRR068193.bam::NOT_FOUND,WES
HRR068194.bam::NOT_FOUND,WES
HRR068195.bam::NOT_FOUND,WES
HRR067370.bam::NOT_FOUND,WES
HRR068196.bam::NOT_FOUND,WES
HRR067371.bam::NOT_FOUND,WES
HRR068197.bam::NOT_FOUND,WES
HRR068198.bam::NOT_FOUND,WES
HRR068199.bam::NOT_FOUND,WES
HRR068200.bam::NOT_FOUND,WES
HRR068201.bam::NOT_FOUND,WES
HRR068202.bam::NOT_FOUND,WES
HRR068203.bam::NOT_FOUND,WES
HRR068204.bam::NOT_FOUND,WES
HRR068205.bam::NOT_FOUND,WES
HRR068206.bam::NOT_FOUND,WES
HRR068207.bam::NOT_FOUND,WES
HRR068208.bam::NOT_FOUND,WES
HRR068209.bam::NOT_FOUND,WES
HRR068210.bam::NOT_FOUND,WES
HRR068211.bam::NOT_FOUND,WES
HRR068212.bam::NOT_FOUND,WES
HRR068213.bam::NOT_FOUND,WES
HRR068214.bam::NOT_FOUND,WES
HRR068215.bam::NOT_FOUND,WES
HRR068216.bam::NOT_FOUND,WES
HRR068217.bam::NOT_FOUND,WES
HRR068218.bam::NOT_FOUND,WES
HRR068219.bam::NOT_FOUND,WES
HRR068220.bam::NOT_FOUND,WES
HRR068221.bam::NOT_FOUND,WES
HRR068222.bam::NOT_FOUND,WES
HRR068223.bam::NOT_FOUND,WES
HRR068224.bam::NOT_FOUND,WES
HRR068225.bam::NOT_FOUND,WES
HRR068226.bam::NOT_FOUND,WES
HRR068227.bam::NOT_FOUND,WES
HRR068228.bam::NOT_FOUND,WES
HRR068229.bam::NOT_FOUND,WES
HRR068230.bam::NOT_FOUND,WES
HRR068231.bam::NOT_FOUND,WES
HRR068232.bam::NOT_FOUND,WES
HRR068233.bam::NOT_FOUND,WES
HRR068234.bam::NOT_FOUND,WES
HRR068235.bam::NOT_FOUND,WES
HRR068236.bam::NOT_FOUND,WES
HRR068237.bam::NOT_FOUND,WES
HRR068238.bam::NOT_FOUND,WES
HRR068239.bam::NOT_FOUND,WES
HRR068240.bam::NOT_FOUND,WES
HRR068241.bam::NOT_FOUND,WES
HRR068242.bam::NOT_FOUND,WES
HRR068243.bam::NOT_FOUND,WES
HRR068244.bam::NOT_FOUND,WES
HRR068245.bam::NOT_FOUND,WES
HRR068246.bam::NOT_FOUND,WES
HRR068247.bam::NOT_FOUND,WES
