t2_id,run_accession,files
HRR233132.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233132.BQSR.bam,HRR233132,HRR233132_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233132/HRR233132_f1.fastq.gz
HRR233132.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233132.BQSR.bam,HRR233132,HRR233132_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233132/HRR233132_r2.fastq.gz
HRR233133.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233133.BQSR.bam,HRR233133,HRR233133_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233133/HRR233133_f1.fastq.gz
HRR233133.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233133.BQSR.bam,HRR233133,HRR233133_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233133/HRR233133_r2.fastq.gz
HRR233134.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233134.BQSR.bam,HRR233134,HRR233134_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233134/HRR233134_f1.fastq.gz
HRR233134.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233134.BQSR.bam,HRR233134,HRR233134_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233134/HRR233134_r2.fastq.gz
HRR233135.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233135.BQSR.bam,HRR233135,HRR233135_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233135/HRR233135_f1.fastq.gz
HRR233135.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233135.BQSR.bam,HRR233135,HRR233135_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233135/HRR233135_r2.fastq.gz
HRR233136.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233136.BQSR.bam,HRR233136,HRR233136_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233136/HRR233136_f1.fastq.gz
HRR233136.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233136.BQSR.bam,HRR233136,HRR233136_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233136/HRR233136_r2.fastq.gz
