t2_id,study_accession
HRR067940.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067940.BQSR.bam,HRA000021
HRR067941.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067941.BQSR.bam,HRA000021
HRR067942.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067942.BQSR.bam,HRA000021
HRR067943.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067943.BQSR.bam,HRA000021
HRR067944.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067944.BQSR.bam,HRA000021
HRR067945.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067945.BQSR.bam,HRA000021
HRR067946.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067946.BQSR.bam,HRA000021
HRR067947.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067947.BQSR.bam,HRA000021
HRR067948.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067948.BQSR.bam,HRA000021
HRR067949.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067949.BQSR.bam,HRA000021
HRR067950.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067950.BQSR.bam,HRA000021
HRR067951.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067951.BQSR.bam,HRA000021
HRR067952.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067952.BQSR.bam,HRA000021
HRR067953.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067953.BQSR.bam,HRA000021
HRR067954.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067954.BQSR.bam,HRA000021
HRR067955.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067955.BQSR.bam,HRA000021
HRR067956.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067956.BQSR.bam,HRA000021
HRR067957.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067957.BQSR.bam,HRA000021
HRR067958.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067958.BQSR.bam,HRA000021
HRR067959.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067959.BQSR.bam,HRA000021
HRR067960.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067960.BQSR.bam,HRA000021
HRR067961.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067961.BQSR.bam,HRA000021
HRR067962.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067962.BQSR.bam,HRA000021
HRR067963.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067963.BQSR.bam,HRA000021
HRR067964.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067964.BQSR.bam,HRA000021
HRR067965.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067965.BQSR.bam,HRA000021
HRR067966.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067966.BQSR.bam,HRA000021
HRR067967.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067967.BQSR.bam,HRA000021
